date,category,type,amount,description,payment_method
2022-08-09,Assinaturas,despesa,236.74,Assinaturas — transação automática,Cartão de Crédito
2022-05-08,Lazer,despesa,520.49,Lazer — transação automática,Cartão de Crédito
2022-02-15,Freelance,receita,4816.26,Freelance — transação automática,Transferência
2024-10-03,Assinaturas,despesa,373.73,Assinaturas — transação automática,Boleto
2023-06-18,Educação,despesa,5.0,Educação — transação automática,Pix
2023-03-20,Educação,despesa,241.06,Educação — transação automática,Transferência
2024-06-10,Transporte,despesa,763.39,Transporte — transação automática,Cartão de Crédito
2023-07-11,Vestuário,despesa,659.61,Vestuário — transação automática,Pix
2022-10-22,Bônus,receita,6340.76,Bônus — transação automática,Transferência
2024-05-09,Vestuário,despesa,311.92,Vestuário — transação automática,Cartão de Crédito
2023-09-30,Freelance,receita,5223.54,Freelance — transação automática,Cartão de Crédito
2022-05-21,Alimentação,despesa,547.99,Alimentação — transação automática,Pix
2022-06-23,Vestuário,despesa,337.36,Vestuário — transação automática,Cartão de Crédito
2022-07-10,Educação,despesa,5.0,Educação — transação automática,Cartão de Crédito
2023-02-19,Bônus,receita,3625.49,Bônus — transação automática,Cartão de Crédito
2022-01-24,Salário,receita,7086.79,Salário — transação automática,Pix
2024-03-01,Moradia,despesa,461.88,Moradia — transação automática,Boleto
2023-09-18,Transporte,despesa,298.64,Transporte — transação automática,Débito
2022-06-09,Impostos,despesa,166.72,Impostos — transação automática,Boleto
2024-07-16,Lazer,despesa,5.0,Lazer — transação automática,Débito
2022-07-04,Rendimentos,receita,4730.79,Rendimentos — transação automática,Débito
2022-09-30,Manutenção,despesa,195.28,Manutenção — transação automática,Boleto
2022-02-07,Impostos,despesa,393.06,Impostos — transação automática,Pix
2023-04-20,Salário,receita,1785.28,Salário — transação automática,Débito
2024-08-20,Moradia,despesa,101.08,Moradia — transação automática,Boleto
2022-12-21,Vestuário,despesa,30709.89,Vestuário — transação automática [ANOMALIA INJETADA],Débito
2022-06-09,Bônus,receita,4524.44,Bônus — transação automática,Pix
2022-12-07,Salário,receita,5947.25,Salário — transação automática,Boleto
2024-01-02,Rendimentos,receita,6090.11,Rendimentos — transação automática,Débito
2023-07-17,Lazer,despesa,91.7,Lazer — transação automática,Débito
2024-09-28,Impostos,despesa,402.13,Impostos — transação automática,Transferência
2022-08-05,Transporte,despesa,209.45,Transporte — transação automática,Transferência
2022-05-31,Transporte,despesa,414.41,Transporte — transação automática,Débito
2022-12-28,Assinaturas,despesa,237.94,Assinaturas — transação automática,Boleto
2022-03-19,Educação,despesa,479.64,Educação — transação automática,Boleto
2024-07-15,Lazer,despesa,615.23,Lazer — transação automática,Transferência
2024-01-23,Lazer,despesa,536.51,Lazer — transação automática,Pix
2024-09-16,Alimentação,despesa,597.95,Alimentação — transação automática,Pix
2024-03-21,Freelance,receita,2687.72,Freelance — transação automática,Pix
2022-11-25,Freelance,receita,1336.69,Freelance — transação automática,Transferência
2023-06-07,Salário,receita,4159.79,Salário — transação automática,Boleto
2024-05-09,Lazer,despesa,547.97,Lazer — transação automática,Pix
2024-04-06,Impostos,despesa,5.0,Impostos — transação automática,Transferência
2022-02-04,Alimentação,despesa,5.0,Alimentação — transação automática,Débito
2023-06-28,Rendimentos,receita,7211.89,Rendimentos — transação automática,Débito
2024-07-02,Educação,despesa,419.99,Educação — transação automática,Débito
2022-11-22,Saúde,despesa,397.48,Saúde — transação automática,Pix
2022-09-05,Saúde,despesa,430.24,Saúde — transação automática,Transferência
2023-09-01,Alimentação,despesa,5.0,Alimentação — transação automática,Transferência
2022-10-21,Transporte,despesa,47.39,Transporte — transação automática,Transferência
2023-11-14,Manutenção,despesa,218.15,Manutenção — transação automática,Transferência
2024-02-20,Assinaturas,despesa,62.66,Assinaturas — transação automática,Cartão de Crédito
2024-09-28,Bônus,receita,5213.2,Bônus — transação automática,Transferência
2024-01-29,Saúde,despesa,236.57,Saúde — transação automática,Boleto
2024-03-31,Saúde,despesa,5.0,Saúde — transação automática,Transferência
2024-09-30,Assinaturas,despesa,94.27,Assinaturas — transação automática,Débito
2024-06-27,Alimentação,despesa,156.04,Alimentação — transação automática,Débito
2023-03-11,Alimentação,despesa,61.09,Alimentação — transação automática,Transferência
2022-02-25,Lazer,despesa,522.24,Lazer — transação automática,Boleto
2023-02-01,Moradia,despesa,374.68,Moradia — transação automática,Transferência
2024-02-28,Saúde,despesa,309.37,Saúde — transação automática,Cartão de Crédito
2024-04-24,Educação,despesa,95.81,Educação — transação automática,Pix
2024-03-11,Saúde,despesa,436.04,Saúde — transação automática,Boleto
2023-02-11,Alimentação,despesa,464.77,Alimentação — transação automática,Pix
2024-03-12,Impostos,despesa,482.59,Impostos — transação automática,Débito
2023-10-04,Alimentação,despesa,65.67,Alimentação — transação automática,Boleto
2023-01-21,Vestuário,despesa,41.06,Vestuário — transação automática,Pix
2022-05-08,Vestuário,despesa,260.93,Vestuário — transação automática,Transferência
2022-06-20,Impostos,despesa,5.0,Impostos — transação automática,Débito
2024-12-11,Alimentação,despesa,104.09,Alimentação — transação automática,Transferência
2023-05-27,Moradia,despesa,567.67,Moradia — transação automática,Débito
2023-01-20,Alimentação,despesa,356.4,Alimentação — transação automática,Transferência
2022-10-05,Bônus,receita,4715.83,Bônus — transação automática,Pix
2024-04-30,Bônus,receita,6618.96,Bônus — transação automática,Boleto
2022-09-24,Manutenção,despesa,412.29,Manutenção — transação automática,Transferência
2023-07-12,Assinaturas,despesa,81.03,Assinaturas — transação automática,Débito
2022-05-05,Educação,despesa,639.45,Educação — transação automática,Débito
2023-07-20,Assinaturas,despesa,214.59,Assinaturas — transação automática,Débito
2023-11-11,Manutenção,despesa,5.0,Manutenção — transação automática,Transferência
2024-11-17,Bônus,receita,3549.14,Bônus — transação automática,Boleto
2023-10-03,Lazer,despesa,406.29,Lazer — transação automática,Cartão de Crédito
2024-11-15,Impostos,despesa,389.05,Impostos — transação automática,Débito
2023-07-08,Salário,receita,3758.63,Salário — transação automática,Débito
2024-12-29,Assinaturas,despesa,190.77,Assinaturas — transação automática,Pix
2023-09-11,Rendimentos,receita,7127.05,Rendimentos — transação automática,Pix
2024-01-19,Assinaturas,despesa,358.06,Assinaturas — transação automática,Transferência
2022-11-22,Assinaturas,despesa,530.17,Assinaturas — transação automática,Pix
2022-06-28,Bônus,receita,5600.24,Bônus — transação automática,Transferência
2024-08-12,Saúde,despesa,473.58,Saúde — transação automática,Transferência
2024-04-01,Moradia,despesa,5.0,Moradia — transação automática,Débito
2022-12-16,Transporte,despesa,247.88,Transporte — transação automática,Pix
2024-07-03,Freelance,receita,1009.1,Freelance — transação automática,Cartão de Crédito
2022-10-21,Assinaturas,despesa,239.98,Assinaturas — transação automática,Pix
2024-02-20,Transporte,despesa,956.12,Transporte — transação automática,Cartão de Crédito
2022-09-11,Transporte,despesa,155.12,Transporte — transação automática,Cartão de Crédito
2022-08-08,Assinaturas,despesa,471.86,Assinaturas — transação automática,Pix
2023-06-16,Assinaturas,despesa,5.0,Assinaturas — transação automática,Boleto
2024-05-04,Transporte,despesa,448.6,Transporte — transação automática,Pix
2024-01-14,Lazer,despesa,5.0,Lazer — transação automática,Débito
2022-04-24,Freelance,receita,1010.79,Freelance — transação automática,Pix
2022-11-26,Educação,despesa,414.08,Educação — transação automática,Cartão de Crédito
2022-09-11,Saúde,despesa,377.06,Saúde — transação automática,Débito
2022-12-14,Lazer,despesa,350.4,Lazer — transação automática,Cartão de Crédito
2024-01-15,Lazer,despesa,498.17,Lazer — transação automática,Boleto
2022-06-28,Salário,receita,3974.89,Salário — transação automática,Cartão de Crédito
2024-02-05,Bônus,receita,3095.29,Bônus — transação automática,Pix
2022-09-05,Manutenção,despesa,138.86,Manutenção — transação automática,Cartão de Crédito
2023-04-22,Transporte,despesa,427.22,Transporte — transação automática,Débito
2022-07-30,Educação,despesa,727.5,Educação — transação automática,Boleto
2022-09-26,Transporte,despesa,5.0,Transporte — transação automática,Débito
2022-02-09,Freelance,receita,7874.54,Freelance — transação automática,Cartão de Crédito
2023-10-17,Moradia,despesa,242.51,Moradia — transação automática,Transferência
2024-08-07,Manutenção,despesa,373.13,Manutenção — transação automática,Boleto
2022-06-29,Alimentação,despesa,461.23,Alimentação — transação automática,Débito
2022-12-09,Impostos,despesa,443.69,Impostos — transação automática,Transferência
2022-12-25,Assinaturas,despesa,277.25,Assinaturas — transação automática,Débito
2023-05-06,Moradia,despesa,243.78,Moradia — transação automática,Débito
2024-08-07,Assinaturas,despesa,292.6,Assinaturas — transação automática,Débito
2023-06-11,Salário,receita,6989.51,Salário — transação automática,Transferência
2022-04-30,Vestuário,despesa,433.51,Vestuário — transação automática,Transferência
2024-05-09,Assinaturas,despesa,272.82,Assinaturas — transação automática,Boleto
2023-04-05,Bônus,receita,4560.39,Bônus — transação automática,Transferência
2022-02-21,Manutenção,despesa,213.31,Manutenção — transação automática,Cartão de Crédito
2024-09-16,Vestuário,despesa,706.1,Vestuário — transação automática,Boleto
2022-10-20,Manutenção,despesa,666.49,Manutenção — transação automática,Pix
2023-10-04,Manutenção,despesa,253.88,Manutenção — transação automática,Débito
2023-03-12,Impostos,despesa,314.7,Impostos — transação automática,Transferência
2022-10-10,Educação,despesa,281.84,Educação — transação automática,Boleto
2023-10-23,Lazer,despesa,206.06,Lazer — transação automática,Pix
2023-04-17,Lazer,despesa,129.85,Lazer — transação automática,Cartão de Crédito
2024-09-02,Educação,despesa,36.94,Educação — transação automática,Boleto
2022-01-17,Impostos,despesa,5.0,Impostos — transação automática,Boleto
2024-07-05,Manutenção,despesa,740.22,Manutenção — transação automática,Cartão de Crédito
2022-11-28,Saúde,despesa,12.62,Saúde — transação automática,Débito
2023-11-29,Bônus,receita,4911.72,Bônus — transação automática,Débito
2023-01-12,Moradia,despesa,517.02,Moradia — transação automática,Débito
2023-05-28,Rendimentos,receita,5314.86,Rendimentos — transação automática,Transferência
2023-03-30,Vestuário,despesa,136.58,Vestuário — transação automática,Débito
2024-01-09,Lazer,despesa,335.2,Lazer — transação automática,Transferência
2024-02-04,Alimentação,despesa,690.42,Alimentação — transação automática,Transferência
2023-07-24,Impostos,despesa,239.81,Impostos — transação automática,Cartão de Crédito
2022-05-20,Lazer,despesa,886.88,Lazer — transação automática,Débito
2023-09-13,Transporte,despesa,373.49,Transporte — transação automática,Transferência
2022-09-05,Vestuário,despesa,454.77,Vestuário — transação automática,Débito
2022-02-25,Transporte,despesa,421.1,Transporte — transação automática,Cartão de Crédito
2024-02-09,Salário,receita,6068.37,Salário — transação automática,Cartão de Crédito
2022-01-22,Vestuário,despesa,494.12,Vestuário — transação automática,Transferência
2023-09-30,Vestuário,despesa,133.12,Vestuário — transação automática,Pix
2023-09-09,Impostos,despesa,381.11,Impostos — transação automática,Transferência
2024-04-24,Freelance,receita,3597.26,Freelance — transação automática,Pix
2024-11-11,Moradia,despesa,347.71,Moradia — transação automática,Transferência
2022-06-26,Moradia,despesa,515.42,Moradia — transação automática,Transferência
2024-03-20,Saúde,despesa,5.0,Saúde — transação automática,Transferência
2024-10-26,Moradia,despesa,533.37,Moradia — transação automática,Cartão de Crédito
2024-04-10,Alimentação,despesa,576.05,Alimentação — transação automática,Boleto
2023-04-05,Impostos,despesa,120.95,Impostos — transação automática,Débito
2023-07-01,Moradia,despesa,644.72,Moradia — transação automática,Débito
2023-07-10,Lazer,despesa,19.56,Lazer — transação automática,Transferência
2023-05-01,Lazer,despesa,5.0,Lazer — transação automática,Débito
2022-05-25,Lazer,despesa,71.08,Lazer — transação automática,Transferência
2023-12-28,Bônus,receita,3743.44,Bônus — transação automática,Transferência
2024-09-02,Impostos,despesa,415.89,Impostos — transação automática,Débito
2022-06-22,Educação,despesa,690.95,Educação — transação automática,Pix
2022-09-15,Bônus,receita,200.0,Bônus — transação automática,Transferência
2022-12-23,Impostos,despesa,150.42,Impostos — transação automática,Débito
2024-02-23,Freelance,receita,7039.85,Freelance — transação automática,Débito
2022-10-19,Assinaturas,despesa,855.37,Assinaturas — transação automática,Débito
2022-03-30,Impostos,despesa,402.55,Impostos — transação automática,Débito
2023-12-14,Bônus,receita,1643.55,Bônus — transação automática,Cartão de Crédito
2022-04-05,Alimentação,despesa,284.79,Alimentação — transação automática,Cartão de Crédito
2022-08-19,Vestuário,despesa,123.87,Vestuário — transação automática,Débito
2023-05-10,Transporte,despesa,551.04,Transporte — transação automática,Débito
2022-01-04,Manutenção,despesa,5.0,Manutenção — transação automática,Boleto
2023-04-24,Manutenção,despesa,589.74,Manutenção — transação automática,Transferência
2022-07-15,Alimentação,despesa,418.21,Alimentação — transação automática,Transferência
2022-10-03,Vestuário,despesa,54.6,Vestuário — transação automática,Débito
2022-05-28,Alimentação,despesa,349.22,Alimentação — transação automática,Boleto
2024-10-04,Moradia,despesa,323.64,Moradia — transação automática,Cartão de Crédito
2024-11-04,Impostos,despesa,547.8,Impostos — transação automática,Débito
2024-08-28,Freelance,receita,6768.04,Freelance — transação automática,Cartão de Crédito
2024-10-22,Assinaturas,despesa,24792.43,Assinaturas — transação automática [ANOMALIA INJETADA],Pix
2022-03-22,Bônus,receita,4416.55,Bônus — transação automática,Boleto
2023-01-17,Rendimentos,receita,5090.69,Rendimentos — transação automática,Cartão de Crédito
2022-11-30,Educação,despesa,319.98,Educação — transação automática,Pix
2023-11-12,Rendimentos,receita,7141.68,Rendimentos — transação automática,Pix
2023-12-13,Saúde,despesa,440.99,Saúde — transação automática,Débito
2023-05-06,Assinaturas,despesa,438.96,Assinaturas — transação automática,Débito
2023-02-16,Freelance,receita,5507.75,Freelance — transação automática,Cartão de Crédito
2024-04-24,Rendimentos,receita,800.03,Rendimentos — transação automática,Boleto
2022-02-22,Freelance,receita,5492.79,Freelance — transação automática,Débito
2022-03-09,Impostos,despesa,276.38,Impostos — transação automática,Transferência
2023-10-16,Lazer,despesa,392.01,Lazer — transação automática,Transferência
2022-02-17,Rendimentos,receita,4095.3,Rendimentos — transação automática,Cartão de Crédito
2023-09-11,Freelance,receita,4843.2,Freelance — transação automática,Débito
2023-06-19,Assinaturas,despesa,457.97,Assinaturas — transação automática,Transferência
2024-12-03,Saúde,despesa,334.54,Saúde — transação automática,Débito
2023-11-17,Salário,receita,2837.21,Salário — transação automática,Débito
2022-06-01,Lazer,despesa,698.1,Lazer — transação automática,Pix
2023-08-29,Assinaturas,despesa,447.07,Assinaturas — transação automática,Pix
2024-01-08,Salário,receita,4962.47,Salário — transação automática,Cartão de Crédito
2022-04-04,Lazer,despesa,287.38,Lazer — transação automática,Pix
2022-11-12,Assinaturas,despesa,437.62,Assinaturas — transação automática,Boleto
2022-05-27,Rendimentos,receita,5668.89,Rendimentos — transação automática,Cartão de Crédito
2023-04-29,Saúde,despesa,641.0,Saúde — transação automática,Cartão de Crédito
2024-09-14,Bônus,receita,3738.79,Bônus — transação automática,Cartão de Crédito
2023-05-27,Rendimentos,receita,5673.7,Rendimentos — transação automática,Pix
2024-10-15,Salário,receita,200.0,Salário — transação automática,Pix
2022-12-17,Bônus,receita,4301.11,Bônus — transação automática,Débito
2023-03-29,Freelance,receita,2535.45,Freelance — transação automática,Transferência
